label,number,tempo,beats,chroma_freq_0,chroma_freq_1,chroma_freq_2,chroma_freq_3,chroma_freq_4,chroma_freq_5,chroma_freq_6,chroma_freq_7,chroma_freq_8,chroma_freq_9,chroma_freq_10,chroma_freq_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,rmse,spectral_bandwidth,spectral_centroid,spectral_rolloff,zero_crossing_rate
blues,00000,123.046875,61,0.362313,0.3679563,0.4398139,0.24464904,0.2477672,0.33550593,0.36469987,0.43573102,0.2959587,0.31499752,0.4068366,0.3848285,-113.57065,121.57179,-19.168142,42.36642,-6.364664,18.623499,-13.704889,15.34315,-12.27411,10.976572,-8.326573,8.803792,-3.6723,5.747995,-5.162882,0.75273985,-1.6902146,-0.40897897,-2.3035226,1.2212901,0.13022792,2002.4490601176958,1784.1658495387549,3805.8396058403423,107.376953125
blues,00001,67.99958881578948,34,0.46005195,0.35025564,0.32089442,0.21156284,0.20090546,0.3309117,0.3973673,0.56047344,0.38413998,0.25517762,0.28502038,0.33420202,-207.5017,123.991264,8.955127,35.87765,2.9073198,21.510468,-8.560436,23.370686,-10.099661,11.900497,-5.555639,5.376327,-2.23176,4.2201405,-6.0121484,0.9279974,-0.7311248,0.29507306,-0.28351822,0.5312158,0.09594781,2039.0365160924302,1530.1766787460795,3550.5220984084976,72.45947265625
blues,00002,161.4990234375,77,0.27318853,0.19605753,0.31518725,0.40813053,0.5468787,0.32192963,0.30471766,0.28839386,0.33419,0.40193152,0.38453266,0.58850837,-90.722595,140.4463,-29.09389,31.684334,-13.984504,25.764742,-13.664875,11.639934,-11.783642,9.7187605,-13.133803,5.791199,-8.907628,-1.077,-9.229274,2.4516895,-7.7290936,-1.816407,-3.4397204,-2.2312589,0.17557041,1747.7023116676025,1552.8118647610036,3042.2602323810906,98.64453125
blues,00003,63.02400914634146,28,0.3410062,0.4082903,0.52433324,0.54700774,0.65718144,0.5116029,0.35560334,0.25160655,0.24625826,0.31505966,0.31642807,0.38303894,-199.5442,150.0909,5.6626782,26.85908,1.771399,14.234031,-4.8320065,9.286495,-0.7591865,8.137607,-3.200653,6.079319,-2.4801738,-1.0793046,-2.8707886,0.78087336,-3.3195965,0.6369653,-0.61912125,-3.407449,0.141093,1596.412872177028,1070.1066149971293,2184.7457991951856,43.068359375
blues,00004,135.99917763157896,66,0.19262847,0.31720546,0.39200908,0.25586376,0.19266334,0.5302227,0.25379348,0.13911578,0.2764034,0.32433385,0.5551482,0.27292463,-160.3377,126.219635,-35.58781,22.148071,-32.478603,10.852294,-23.352331,0.49843356,-11.793437,1.207255,-13.088418,-2.813867,-6.9333844,-7.5527253,-9.164666,-4.5205755,-5.454034,-0.9168737,-4.4048266,-11.703234,0.09152871,1748.1721158264975,1835.004265512071,3579.757626703886,131.1884765625
blues,00005,69.83741554054055,34,0.23830429,0.30020088,0.61701083,0.23565836,0.12397125,0.24369822,0.27947593,0.41117647,0.24383795,0.28538796,0.2843709,0.3663821,-177.77425,118.20548,-17.56588,30.762402,-21.747839,11.920995,-20.730993,3.1865778,-8.586039,-0.9328521,-11.772434,-2.4058323,-9.343665,-9.93621,-3.9039948,-5.57659,-1.8382632,-2.7837994,-3.047909,-8.109991,0.10349364,1729.6532869429993,1831.993939606849,3481.5175917198376,121.595703125
blues,00006,71.77734375,36,0.4255088,0.22301406,0.13123347,0.15254208,0.24187969,0.49119338,0.2454963,0.16909216,0.2881814,0.461584,0.35920325,0.30700722,-190.05237,130.28908,-36.369534,33.029034,11.108782,-0.6055834,-20.871855,0.27302474,-6.4861393,-5.5167675,-7.8397517,-3.128592,-6.596197,-9.950378,-6.535177,-10.068052,-10.913176,-6.971336,-3.4365046,-6.4834657,0.14187415,1389.0091311849505,1459.366471695765,2795.610963330191,94.45654296875
blues,00007,92.28515625,45,0.26209104,0.2616074,0.3270971,0.21947025,0.21428227,0.29660442,0.19475584,0.17988986,0.26299602,0.38586703,0.6466559,0.44414055,-179.34714,136.46901,-26.673138,39.98425,5.304416,10.928612,-20.564827,8.511157,-11.357249,-3.4683466,-8.419937,-6.9497156,-3.5391388,-8.041617,-8.960674,-8.426084,-10.568935,-10.784514,-4.690677,-8.630722,0.13182218,1577.2709414206151,1451.6670658428172,2954.836759987674,79.44482421875
blues,00008,83.35433467741936,40,0.31958136,0.30447575,0.36660102,0.4221065,0.5238088,0.4511579,0.49333328,0.35276735,0.3800912,0.4615966,0.36630425,0.46472695,-121.363945,122.50667,-14.738196,46.131065,-8.181879,20.182962,-19.173378,23.039139,-11.838223,21.16,-6.718366,6.9925423,-12.730596,5.0613246,-5.1832147,-1.4525597,-7.0418243,2.6952481,3.4123054,-2.7156928,0.14241649,2031.740381002539,1719.3689480431462,3782.316288428074,82.7841796875
blues,00009,80.74951171875,40,0.24822946,0.27317405,0.4884937,0.26803896,0.17963237,0.26769406,0.22251813,0.4154739,0.2726944,0.181105,0.2298664,0.24048437,-213.23999,115.1656,-11.693431,39.014275,-20.341278,13.077605,-9.173518,9.011447,-14.100634,4.2659416,-6.046168,3.782207,0.2217994,-5.1093993,-0.41023037,-1.1799208,-1.9168043,-2.2926605,2.881967,-4.2352037,0.08131366,1973.7733063015248,1817.15086312572,3943.490565182715,102.373046875
blues,00010,161.4990234375,79,0.4620692,0.17099915,0.19256896,0.37840903,0.35405627,0.45919538,0.276341,0.32414472,0.1876021,0.20238975,0.32362115,0.316523,-173.7925,137.1867,-23.724049,26.978436,-16.657696,4.1808825,-12.55993,5.8321843,-2.8743188,-1.1974189,-1.9548353,1.8015007,-2.9896474,-1.8666562,-0.7927427,-3.0159667,-0.44005367,-1.9945513,-0.7484698,-4.991314,0.14286506,1512.3102651538218,1409.9552556449528,2765.9008052675463,81.40576171875
blues,00011,161.4990234375,81,0.26106486,0.22667314,0.29584292,0.39618042,0.64813846,0.56960577,0.36239368,0.34999025,0.34508482,0.35132158,0.27772605,0.32180274,-287.92374,124.01875,5.469892,33.65741,1.0954971,14.705335,-4.8770084,8.670525,0.78540504,6.579526,-4.874974,-3.1782238,-5.5361576,-6.7844357,-2.6481564,-2.9945593,-3.3868182,-1.8526473,1.8399631,-4.8908033,0.06574069,1756.7797951648831,1352.6596654421637,2880.7778626196346,56.80224609375
blues,00012,184.5703125,91,0.3036192,0.16076717,0.21954827,0.20337407,0.19672816,0.2667529,0.30218297,0.15779877,0.18240313,0.21350187,0.37546745,0.65054935,-207.22331,132.83055,-15.4288435,60.970932,0.729872,12.437647,1.1827995,-1.5466231,-17.879436,8.352729,-2.458161,-0.60338485,0.38596085,2.5995464,-5.1792665,-9.523479,-9.242837,-2.8550277,-1.4271617,-5.931978,0.119046055,1567.5652250221797,1360.6411972395076,2738.6387375833815,89.33984375
blues,00013,107.666015625,52,0.12718895,0.14186291,0.17097276,0.14690053,0.18988284,0.2321389,0.15636852,0.21660036,0.34502098,0.38454688,0.6914132,0.37365717,-209.82616,124.46322,10.342454,47.010914,6.5081253,15.410518,-2.0051074,6.7065654,-21.557632,10.718407,-5.5236883,-2.1998053,-3.0348647,8.644537,-0.3037208,-0.6379486,-2.9384263,-1.7045164,-1.7681892,-7.762181,0.11316983,1828.0392544027368,1324.2932181481008,2710.269200442285,66.46240234375
