label,number,tempo,beats,chroma_freq_0,chroma_freq_1,chroma_freq_2,chroma_freq_3,chroma_freq_4,chroma_freq_5,chroma_freq_6,chroma_freq_7,chroma_freq_8,chroma_freq_9,chroma_freq_10,chroma_freq_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,rmse,spectral_bandwidth,spectral_centroid,spectral_rolloff,zero_crossing_rate
Hip-Hop,2,161.4990234,81,0.747025788,0.465682179,0.376993865,0.345670611,0.275182217,0.234055743,0.272917718,0.419954211,0.372558981,0.358454406,0.378473192,0.515920699,-67.38420105,65.15507507,-10.66919613,12.17693233,-3.303556681,9.916470528,-1.985740542,5.41533947,-6.161758423,1.091335654,-10.33004951,3.407173157,-3.014470339,8.196856499,-3.306395531,1.253358245,-8.481487274,-2.040748596,-2.946624279,0.094076507,0.145194724,2690.110827,3037.644725,6214.647549,211.3300781
Hip-Hop,5,99.38401442,48,0.408760786,0.57830888,0.39820224,0.340598077,0.32248944,0.329276204,0.373312414,0.398213416,0.487946391,0.491414577,0.50759393,0.457418889,-106.5877304,87.23935699,12.15682697,24.14039803,-0.97047919,12.83111858,-5.540451527,17.37494469,-6.245709896,-0.075109497,-1.827620506,8.870682716,3.444280386,7.29020977,0.227132395,0.919858456,-4.12634182,-0.580665708,-1.600444913,1.350322962,0.148797721,2598.843861,2414.124259,5437.441882,129.3300781
Pop,10,112.3471467,55,0.28292343,0.649436891,0.331008554,0.347307295,0.231326878,0.32353279,0.700843751,0.338873088,0.381108493,0.309134901,0.569393635,0.307124346,-17.23817444,94.44202423,-48.61454773,32.37076569,-4.550583839,2.220590115,-2.271864891,2.682117224,-5.288854122,0.512593031,-9.244275093,2.23993969,-6.41642952,2.677108765,-5.104512691,-0.91109848,-3.207995653,3.043154001,-1.03651154,3.882601023,0.188251317,2051.924534,2349.559292,4315.856035,191.9384766
Folk,140,107.6660156,52,0.242032692,0.27008611,0.364845991,0.346045792,0.379184484,0.433391541,0.273385435,0.23354736,0.20020467,0.274347872,0.294041365,0.230070814,-278.5753784,101.5307388,36.42723846,35.59011841,26.10404587,11.71223068,10.15330791,5.554251194,0.69279325,7.023210526,-4.78029108,-1.614700198,-6.836419582,2.879914522,-8.271724701,1.239001393,-5.205991745,-0.754436553,-6.319377422,-1.172379136,0.069217801,2484.493384,1746.32228,3863.175065,57.22021484
Folk,141,103.359375,50,0.163431093,0.152726367,0.242595926,0.18610315,0.233463541,0.373931587,0.24192065,0.224559546,0.213586494,0.385072261,0.513216019,0.213900208,-208.5692596,116.633934,-1.723711848,26.01859856,9.688706398,-4.179668427,7.235490799,-5.11975193,-0.05203259,2.222994804,-3.326600075,-3.396802902,-4.810870171,3.130366564,-2.126665354,5.053833008,-0.170090467,3.087436438,-8.665927887,-1.098168254,0.101357892,2036.500245,1654.237111,3315.637916,79.83007813
Experimental,148,117.4538352,44,0.235995531,0.232324675,0.220400885,0.345106542,0.254884094,0.252302557,0.488400906,0.447436094,0.427762926,0.505452931,0.332067996,0.243565395,7.710216045,126.7325821,-28.73766708,31.71504593,11.85219669,12.92056942,-2.321436644,14.69160938,-1.112011909,8.886786461,-0.554055333,7.163163662,-0.238319308,10.88386536,5.996387959,6.318072796,-1.195581079,8.379592896,8.224873543,4.861195564,0.478677213,1878.885404,1707.230572,3543.337779,116.4379883
Rock,182,143.5546875,69,0.307825923,0.2946814,0.357233882,0.478018612,0.309765458,0.464446485,0.391880661,0.452228457,0.32141,0.300127149,0.476917624,0.276257753,-25.99666405,136.6370544,-60.63116455,43.43404007,-37.30487442,32.45014191,-4.444218159,13.83585548,11.92033005,7.383212566,12.13396168,12.42377472,3.18396306,11.5374527,-2.852720022,1.788148403,-0.09510795,-1.9035393,-0.743594587,-1.606024623,0.275296509,1749.692427,1876.924876,3949.702386,129.9770508
Folk,190,99.38401442,50,0.229024872,0.151734009,0.232184961,0.199611753,0.386038035,0.280964643,0.25503552,0.263409406,0.261333525,0.308558196,0.153858796,0.218102813,-139.8821106,97.2009964,-23.45760727,26.14088249,-8.052657127,-3.192777395,-22.34753799,-6.469722748,-20.44487381,-5.501774311,-16.556633,-4.759708881,-8.700592995,-6.123004436,-8.15327549,-8.733756065,-9.18504715,-2.001034975,-6.301159859,-8.041835785,0.132955015,2019.182522,1899.837066,3714.893881,114.2001953
Folk,193,95.703125,47,0.298456937,0.416491061,0.387470365,0.470192045,0.428638995,0.325965554,0.325993985,0.191974446,0.313853592,0.303558737,0.294535041,0.271033078,-198.2923584,120.7119446,-29.7820797,35.78565598,-10.45166206,5.316995621,-13.97368622,-5.228672504,-16.3837471,-7.792897701,-11.73332977,-4.999311924,-7.84766674,-7.091022491,-13.87532711,-8.47030735,-10.47219658,-8.709440231,-9.45505619,-9.769729614,0.08332631,1754.448013,1584.14658,3206.946113,99.69482422
Folk,194,103.359375,50,0.286168814,0.298746407,0.335274786,0.241162971,0.411484778,0.358244389,0.239155114,0.24423708,0.297869772,0.427128643,0.260067105,0.287150264,-184.8272095,119.1520462,-26.91344643,29.48335075,-8.528963089,4.003072262,-12.62610817,-1.43835783,-17.03955841,-5.56276226,-13.36736107,-2.447454929,-8.813964844,-9.324525833,-9.189736366,-5.523375034,-10.00202847,-6.69264698,-8.272129059,-6.835614204,0.096482798,1761.624753,1547.249057,3087.974573,94.18652344
Folk,197,117.4538352,56,0.476701081,0.293503463,0.380479485,0.268888444,0.367661595,0.33506465,0.142647281,0.128916845,0.136657223,0.271374732,0.144856244,0.33859843,-296.3250732,127.0562057,-11.14042664,17.7622776,-0.660129964,-4.728595257,-7.765411854,-6.2259202,-10.14221096,-7.435736179,-7.863689899,-7.554514408,-5.775998116,-7.708979607,-12.43224239,-6.54557085,-7.459215641,-7.543604851,-5.158943176,-3.652437449,0.045630015,1364.401706,1143.12702,2187.655013,69.81054688
Folk,200,99.38401442,48,0.368372262,0.3620992,0.44156757,0.378597498,0.474933326,0.315743417,0.28655079,0.384723425,0.255535483,0.318205684,0.262770593,0.414573014,-122.5175247,103.2352066,-30.95158195,41.03110886,-10.52668285,1.819438815,-12.62056637,-2.685547352,-11.14966488,-6.290968895,-16.96311569,-7.872332096,-7.559551239,-11.0110817,-8.631731033,-4.385393143,-7.318212032,-7.899265766,-13.15489864,-9.025381088,0.120955512,1926.807232,1919.168174,3838.931447,126
Folk,203,123.046875,56,0.1567671,0.263776958,0.186077639,0.166252956,0.208605543,0.114874095,0.21674709,0.05824529,0.105849266,0.41930142,0.160593361,0.215551823,-267.2674866,123.8248215,1.87336874,13.29710484,-19.51402283,-17.47995186,-21.4113121,-13.96271992,-23.46710014,-12.9465065,-18.56800461,-13.24195194,-2.999518156,3.175035477,2.363627672,3.051738977,-1.959343672,-1.851898909,-0.583447576,2.145065308,0.087742135,1716.340633,1348.098555,2449.481083,67.77392578
Folk,204,107.6660156,53,0.147429243,0.273126304,0.361274093,0.183854505,0.155200735,0.195335239,0.488086998,0.370188683,0.233388439,0.345067799,0.202342659,0.245130584,-164.2891235,121.9887085,-15.69550133,17.67658615,6.791200161,0.868419528,-14.77453423,-8.734255791,-16.3159523,-4.751513004,-15.68208408,-2.064158201,-13.52599716,-7.024837017,-2.776137114,-8.827327728,-0.520285189,2.319834709,-0.306705594,0.009680904,0.117259182,1936.586404,1765.952485,3310.317163,104.0585938
Folk,207,123.046875,60,0.266163439,0.179703191,0.209932953,0.153864428,0.24747324,0.200865135,0.148266673,0.216960549,0.117891945,0.167985603,0.188194171,0.402815759,-371.1418457,101.1179276,1.741037726,10.08073807,-7.381800175,-8.922749519,-9.527996063,-5.624731541,-7.580728531,-3.348690748,-2.410185814,-3.987325191,-4.152920723,-5.355719566,-7.09679842,-4.9071908,-5.45720911,-5.891169548,-8.359220505,-4.759277821,0.047679454,1474.954604,1244.178343,2233.456853,78.89599609
Folk,210,95.703125,48,0.231964558,0.517791629,0.468624473,0.243456513,0.341124922,0.239127323,0.416688234,0.282832891,0.282893926,0.399080813,0.196787715,0.234206125,-104.4128723,109.6610336,-31.54750061,18.93735886,-6.222207546,-0.333028644,-13.92914104,-0.000389577,-17.71230316,-5.43696928,-15.62037659,-1.200098515,-11.02732086,-12.30268574,-10.69419765,-7.795834064,-5.180744171,-1.164225698,-10.76886368,-2.850285053,0.146579966,1972.852424,1822.644525,3564.044883,109.8813477
Folk,211,99.38401442,47,0.230966911,0.294277638,0.531935811,0.232732043,0.242351264,0.283648044,0.497589886,0.330953419,0.203148663,0.258214772,0.144260973,0.308344007,-129.49823,126.4833603,-35.11384583,23.26918602,-13.48402882,-4.82199192,-16.30571938,-10.02115822,-21.41609573,-10.77979374,-14.70471954,-6.749181747,-8.77562809,-9.690750122,-5.535472393,-6.422250271,-7.165236473,-2.526479483,-4.339762688,-2.969359398,0.138348013,1738.966155,1594.632295,3094.359652,101.5117188
Folk,212,99.38401442,48,0.270104378,0.32690686,0.537274361,0.25915584,0.26820156,0.304327071,0.500835299,0.393703908,0.267838895,0.312102407,0.198234454,0.356219351,-110.6698303,103.5665512,10.57877827,16.4100647,11.80111885,3.594214916,-1.369027138,2.36737299,-10.05712605,0.014885818,-4.859470844,3.036882162,-2.755727291,0.221791163,0.279811621,2.903775454,-2.038218737,4.170448303,0.617510438,3.210971117,0.111168988,2627.243689,2331.932339,5292.03069,136.3666992
Pop,213,143.5546875,67,0.119163945,0.18046312,0.318331152,0.097124927,0.072279014,0.22774373,0.679779291,0.193618834,0.283738583,0.65756911,0.263364673,0.28906548,-264.0207825,160.3870697,0.499303132,15.05812645,12.01208973,-8.957159996,-10.78533173,0.959412515,-8.229310989,-9.30521965,-11.67316818,-5.370893002,-4.490613461,-11.13426495,-18.51815796,-2.583430767,-4.884124756,1.371706486,4.428988457,-3.584379911,0.068271153,1447.349205,1131.716501,2116.208479,69.72167969
Rock,255,123.046875,60,0.265583664,0.43632862,0.522865891,0.337118775,0.347404778,0.27895844,0.353010237,0.277048469,0.364651293,0.680100203,0.421099842,0.376954496,-137.2385559,164.0834808,-21.27915001,18.30210876,-11.14872074,12.74627113,-9.708662987,-0.143531993,-8.321496964,-1.427129388,-3.091467381,-2.481998444,-4.967905045,-0.50729239,-5.051203251,-1.048139453,-7.853634357,-2.617224216,-8.972772598,-2.865176678,0.143467724,1521.007171,1255.779876,2337.828673,77.71875
Rock,256,123.046875,60,0.495755851,0.574636519,0.630044758,0.57020849,0.515865386,0.454901218,0.504906535,0.547787905,0.545169234,0.608616889,0.649540663,0.509926438,29.56090164,100.8701553,-34.51793671,35.05198288,2.169736147,5.132842541,-2.716059685,9.788342476,1.299170732,4.030940056,-1.223386645,5.654801369,1.142942429,3.545585155,-2.491444588,0.657125652,-7.92399168,-0.940960228,-4.5948596,-0.903293848,0.287592441,2141.253922,2193.532017,4238.188057,149.3452148
Rock,368,135.9991776,52,0.239797175,0.232020482,0.403822601,0.542249382,0.828005195,0.629062355,0.35252583,0.254064053,0.222954527,0.199086234,0.185118303,0.26548782,-256.1589966,117.0563736,45.41711426,18.58817863,20.25536156,20.88375092,-2.26181674,13.9516716,-0.492005467,3.310812473,2.058888435,9.713316917,-2.416700125,4.614755154,-3.894836187,0.466407776,-6.061868668,0.379564077,-7.032991409,-0.697455883,0.075862028,2322.276894,1518.341958,3174.129244,60.15332031
Experimental,424,99.38401442,49,0.202660307,0.180471137,0.228621975,0.722067952,0.675414681,0.281155825,0.263046592,0.216319144,0.442531645,0.28684783,0.31410566,0.535984337,-103.2052536,125.0267029,-57.94431305,47.03954697,-21.56484413,-1.471880555,-21.39682579,-5.518837452,-21.75134087,-4.203122616,-4.48266077,-0.117674977,-14.46385098,1.808009028,-6.068891525,-7.392323971,-9.484888077,-5.1181283,-10.12717533,-1.075611949,0.133787945,1637.679265,1853.167568,3410.3273,155.3442383
Rock,459,95.703125,47,0.301861554,0.445738465,0.862128735,0.554516435,0.327491373,0.361204535,0.466574728,0.462028444,0.29415971,0.407560766,0.304877281,0.496285319,5.271741867,110.038002,-4.153345108,26.89934349,11.28050232,14.19797707,0.017708739,13.48012924,0.413575172,8.061555862,-3.980713844,4.695031643,-1.134993672,3.961829424,-1.564966559,2.114374161,-3.066270113,2.193472385,-3.112468004,3.298351526,0.368765175,2357.210892,1947.514738,4389.117956,82.09082031
Folk,534,151.9990809,73,0.194196597,0.139241427,0.26027146,0.479733884,0.228635281,0.186296076,0.173531786,0.292825699,0.387420595,0.390889764,0.50887078,0.270422488,-259.794342,150.2408142,34.13901138,54.56217194,-13.36184978,4.054342747,11.77136517,-16.18849945,-5.98911047,-0.153430298,-5.485358238,-4.746535301,-8.018499374,5.037823677,-1.814147949,0.693388879,-1.80576694,-3.202059507,-3.180232048,0.088709526,0.087867558,1592.112074,1010.295801,1792.793445,52.46728516
Folk,540,143.5546875,67,0.196099818,0.182189673,0.178798541,0.316180408,0.172559947,0.205917984,0.179909542,0.409169614,0.754410207,0.334577978,0.137431949,0.133720368,-205.8336334,137.933197,-4.343196392,56.33224487,-8.318016052,-1.263402343,12.59269333,-10.3051424,-17.36561775,-0.643189788,1.393853545,-1.929460168,-11.02643776,-0.828957081,-10.97759533,-1.921653986,-6.113031387,-1.28637743,-0.227222025,0.419077218,0.093435265,1699.2987,1385.130776,2927.348062,79
Folk,546,103.359375,51,0.204182267,0.187120482,0.296507567,0.355310798,0.228596061,0.278426826,0.435133845,0.4615044,0.344500422,0.260840416,0.209971294,0.20427604,-224.4598694,149.473526,-0.829001725,52.95329285,-15.92101383,-3.381422997,18.25069427,-5.688946724,-14.44113541,-1.021177053,-4.508304119,5.547150135,-13.39704895,-2.201671124,-4.790521145,-5.839798927,0.355590582,-3.003192663,1.578897119,-1.331011891,0.085490681,1593.189779,1264.095309,2564.894715,73.21142578
Rock,574,123.046875,57,0.358610928,0.406920314,0.406478524,0.544287205,0.473172039,0.391452968,0.457767457,0.425786644,0.593522608,0.447615564,0.390567183,0.399585634,33.92192841,85.63259125,-17.07459068,21.03207016,5.007997036,-1.221378088,-13.0189333,3.791583061,-7.774296761,4.612901688,-2.952058315,1.556276202,-8.585412979,2.619735956,-6.299942017,-3.649816513,-8.637075424,-0.386701554,-6.25868082,1.375765562,0.275232375,2521.969932,2609.785705,5466.147737,185.3496094
Folk,602,151.9990809,75,0.104116186,0.239311039,0.553281724,0.214427337,0.249263033,0.523085833,0.160546079,0.082365289,0.116619818,0.288645923,0.185908258,0.140525535,-400.4193726,171.9141083,25.53153419,21.9287529,19.85171127,4.602468491,-1.024896502,-8.14460659,-16.96696663,-14.91869164,-14.74941158,-15.99678707,-11.01332855,-5.425396442,-10.24982643,-4.336005211,-5.507647038,-3.457736731,-2.609906435,3.500871897,0.04457619,1245.046265,766.8814474,1098.426872,44.72167969
Experimental,615,117.4538352,45,0.152755827,0.090539627,0.051241469,0.13764143,0.180113658,0.081715845,0.081545077,0.568579555,0.997297823,0.366595298,0.042034987,0.060831103,-447.1320496,197.8674011,84.05475616,42.49248886,15.69561195,5.802042961,-2.405274391,0.088316217,0.660919428,-0.004173969,-3.682483196,-4.822521687,-10.1251421,-11.16092014,-11.00051689,-6.107117653,-3.295209169,0.543158829,-1.715522408,-3.080368996,0.060324945,812.3026255,398.6990944,473.047668,24.46240234
Folk,620,135.9991776,68,0.214000702,0.114848204,0.218521208,0.123685993,0.27605772,0.168161124,0.180764362,0.318559557,0.411337614,0.780404389,0.339145392,0.284118414,-162.0161743,104.1898575,-3.501661539,24.65956306,4.336686134,0.580778897,-7.595379353,-0.095987171,-12.01566696,-7.772316456,-12.79448509,-3.790882111,-8.050542831,-4.990109921,-7.881080151,-6.328730583,-11.97220993,-8.078560829,-9.917908669,-5.958802223,0.107375942,2258.131863,1966.971484,4201.993594,94.04394531
Folk,621,99.38401442,49,0.261912793,0.13927488,0.263057262,0.234394833,0.412445992,0.219662428,0.406342328,0.385933429,0.221511424,0.271124154,0.245780468,0.466546953,-117.5784912,110.7690277,-23.85023499,22.4304409,-9.623929977,5.84620142,-17.48040581,-2.280886412,-19.46029663,-5.167874336,-13.92948055,-11.08559704,-12.53751945,-8.386728287,-6.835582733,-3.678143501,-12.78821945,-9.58677578,-9.775586128,-6.394219398,0.15895021,1893.804262,1753.034593,3360.514046,118.5268555
Folk,625,92.28515625,46,0.578629136,0.279956847,0.217004508,0.127522007,0.293837786,0.357016027,0.279374719,0.38601467,0.172974229,0.196912721,0.162178338,0.215472743,-123.761734,113.1446228,-25.14369011,18.92022514,-0.397375971,1.061892748,-9.984304428,-9.836134911,-12.85582829,-1.500513911,-9.175344467,-5.295554161,-9.410946846,-9.337569237,-11.47132969,-10.47809982,-8.498181343,-6.319760799,-7.152688026,-4.253356457,0.186180159,1823.956441,1707.374135,3267.775987,112.390625
